순위,관광지명,광역시,시/군/구,lat,lng,area_cd,are_nm,distance_to_center_km,중분류 카테고리,소분류 카테고리,검색건수,실내/실외 구분,추천 연령대,K-Beauty_추천_페르소나
1921,서초베이스볼아카데미,서울특별시,서초구,37.5004732570388,127.010431452499,POI017,고속터미널역,0.652,레저스포츠,기타레저스포츠,680,혼합,전연령,공통(전체)
1922,송죽어린이공원,서울특별시,강서구,37.5394721128177,126.833874391535,POI027,발산역,2.163,문화관광,도시공원,680,실외,3040세대,대만
1923,영등포여의도봄꽃축제,서울특별시,영등포구,37.53358458398922,126.91478272373588,POI126,여의서로,0.802,문화관광,기타문화관광지,679,혼합,1020세대,일본
1924,탑골생태공원,서울특별시,은평구,37.6381801310897,126.91382046057,POI043,연신내역,2.205,문화관광,도시공원,678,실외,3040세대,대만
1925,영등포구청존프랭클주짓수,서울특별시,영등포구,37.5285438563557,126.896117044319,POI103,양화한강공원,1.193,레저스포츠,기타레저스포츠,678,혼합,전연령,공통(전체)
1926,포스코센터아트홀,서울특별시,강남구,37.5096842548818,127.055534174725,POI034,선릉역,0.818,문화관광,기타문화관광지,674,실내,1020세대,일본
1927,에이원민턴스킬트레이닝센터청담점,서울특별시,강남구,37.52075883609086,127.0547957834775,POI080,청담동 명품거리,0.975,레저스포츠,기타레저스포츠,673,실내,전연령,공통(전체)
1928,세종뮤지엄갤러리,서울특별시,광진구,37.5509381516066,127.075479813493,POI100,서울대공원,0.433,문화관광,전시시설,673,실내,3040세대,"중국, 일본, 미국"
1929,한생연 인간과로봇과학관,서울특별시,송파구,37.511980820328496,127.08704201836385,POI118,잠실새내역,0.075,문화관광,전시시설,673,실내,3040세대,"중국, 일본, 미국"
1930,노들섬다목적홀숲,서울특별시,용산구,37.5174983828433,126.959255609449,POI092,노들섬,0.109,문화관광,기타문화관광지,673,혼합,1020세대,일본
1931,곰솔원예자재,서울특별시,서초구,37.46224553784506,127.09018089763352,POI112,청계산,3.462,체험관광,농/산/어촌체험,672,혼합,전연령,공통(전체)
1932,멀티캠퍼스선릉,서울특별시,강남구,37.503354516625,127.049874752633,POI034,선릉역,0.15,체험관광,체험관광기타,672,혼합,3040세대,대만
1933,동대문일요시장,서울특별시,중구,37.5688978975252,127.011138260743,POI002,동대문 관광특구,0.152,쇼핑,시장,672,혼합,5060세대,대만
1934,서울형키즈카페성북구종암동점,서울특별시,성북구,37.5982251656377,127.031466608457,POI035,성신여대입구역,1.392,문화관광,테마공원,670,실내,3040세대,미국
1935,학림사,서울특별시,노원구,37.6821649177269,127.077406023458,POI070,쌍문역,5.304,역사관광,종교성지,669,혼합,5060세대,공통(전체)
1936,풋살몬스터,서울특별시,강동구,37.5459392390325,127.143641711073,POI016,고덕역,1.373,레저스포츠,기타레저스포츠,669,혼합,전연령,공통(전체)
1937,한식진흥원,서울특별시,종로구,37.57840306918705,126.9858376674118,POI066,북촌한옥마을,0.385,문화관광,기타문화관광지,668,혼합,1020세대,일본
