rank,rank_change,brand_name,goods_name,price,image_url,카테고리 이름,store,ranking_type
428.0,-1,프롬 더 스킨,프롬더스킨 글로우 앰플미스트 50 ml,500,https://cdn.daisomall.co.kr/file/PD/20240329/0SsmvgpcmtcOAca1oCy41004130_00_000SsmvgpcmtcOAca1oCy4.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
432.0,0,어퓨_더퓨어,어퓨 더퓨어 티트리 에센스 50ml,3000,https://cdn.daisomall.co.kr/file/PD/20250411/UBbjGuhkwBTWABMksDhL1063611_00_01UBbjGuhkwBTWABMksDhL.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
433.0,-2,VT,VT 슈퍼 히알론 워터 3스텝 마스크팩,5000,https://cdn.daisomall.co.kr/file/PD/20251128/48KGdDdZtzKogEC9hIZr1044967_00_0048KGdDdZtzKogEC9hIZr.png/dims/resize/1280/quality/90/format/avif/optimize,클렌징,다이소,3월 베스트 랭킹
436.0,1,daiso,비타민 미백 필링패드 185ml 60매,1000,https://cdn.daisomall.co.kr/file/PD/20250929/Nr7KCHYQ6xZWKnO0KgBt1049299_00_01Nr7KCHYQ6xZWKnO0KgBt.jpg/dims/resize/1280/quality/90/format/avif/optimize,클렌징,다이소,3월 베스트 랭킹
437.0,2,파티온,파티온 노스카나인 퍼스트스텝 진정세럼미스트 150 ml,5000,https://cdn.daisomall.co.kr/file/PD/20240405/1IsMuVbtsEzZqwnldfyt1041654_00_001IsMuVbtsEzZqwnldfyt.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
438.0,-1,미팩토리,미팩토리 오일쏙쏙 블러스틱,5000,https://cdn.daisomall.co.kr/file/PD/20251202/9wxBK44DbCVHq1ICgKZz1071641_00_009wxBK44DbCVHq1ICgKZz.png/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
448.0,2,닥터씨피유,닥터씨피유 수분하이드로 부스터 앰플 30 ml,1000,https://cdn.daisomall.co.kr/file/PD/20231127/K4sFhx24aYk3qGkSnApX1004478_00_00K4sFhx24aYk3qGkSnApX.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
450.0,-2,닥터오라클,닥터오라클 큐어소나 리쥬코드 리치 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250403/wEkzGFA5hlWV8GjqzcsA1062712_00_01wEkzGFA5hlWV8GjqzcsA.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
453.0,0,제이엠솔루션,제이엠솔루션 릴리프 약산성 약쑥 마스크팩 ,5000,https://cdn.daisomall.co.kr/file/PD/20250331/RJEEJHiQXKrLMceGrejK1064420_00_01RJEEJHiQXKrLMceGrejK.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
454.0,1,싸이닉,싸이닉 파워옴므 블랙립밤 4 g,1000,https://cdn.daisomall.co.kr/file/PD/20251002/KLrKOLakyCqHAJdg5bIB1041681_00_00KLrKOLakyCqHAJdg5bIB.png/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
455.0,1,더랩 바이 블랑두,더랩바이블랑두 클리어히알결광 선에센스 40 ml,3000,https://cdn.daisomall.co.kr/file/PD/20250814/odE85QqtQi8GV7BUOJrY1068777_00_01odE85QqtQi8GV7BUOJrY.png/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
459.0,2,실크테라피,실크테라피 실크케라틴 앰플에센스 25 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251126/hb5KfuxnQV6WfQ355QRJ1073408_00_01hb5KfuxnQV6WfQ355QRJ.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
461.0,1,메디필,메디필 멜라논엑스 기미아이크림 20 ml,1000,https://cdn.daisomall.co.kr/file/PD/20260116/sD5k0u5YKUcAM5qFvLMy1004456_00_00sD5k0u5YKUcAM5qFvLMy.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
468.0,-2,AHC,AHC 에이지리뉴 아이크림 퍼밍 30 ml,1000,https://cdn.daisomall.co.kr/file/PD/20231127/kFHLTmOLFSN4f345KuND1004459_00_00kFHLTmOLFSN4f345KuND.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
469.0,2,daiso,딥 클렌징 폼 150 ml,3000,https://cdn.daisomall.co.kr/file/PD/20250929/dxyj4bk9HCwUh5PXPUIs1070000_00_00dxyj4bk9HCwUh5PXPUIs.jpg/dims/resize/1280/quality/90/format/avif/optimize,클렌징,다이소,3월 베스트 랭킹
479.0,1,드롭비,드롭비 잡티 말끔 앰플 40ml,5000,https://cdn.daisomall.co.kr/file/PD/20260128/EExzcR7cOSEGlqMpc67G1073248_00_00EExzcR7cOSEGlqMpc67G.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
480.0,1,제이준코스메틱,제이준 인텐시브 브라이트닝 슬리핑팩 4 ml 10개입,2000,https://cdn.daisomall.co.kr/file/PD/20251231/KmFx8D9USBa7Tb2iRwFh1035082_00_00KmFx8D9USBa7Tb2iRwFh.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
481.0,0,마데카21,마데카21 테카 솔루션 수딩 젤 클렌저 100 ml,1000,https://cdn.daisomall.co.kr/file/PD/20240329/OhR7QH6nW54fHGSYI7Lm1004452_00_00OhR7QH6nW54fHGSYI7Lm.jpg/dims/resize/1280/quality/90/format/avif/optimize,클렌징,다이소,3월 베스트 랭킹
488.0,0,daiso,센카 퍼펙트 휩 클렌징 폼 50 g 프레시,5000,https://cdn.daisomall.co.kr/file/PD/20251002/dGPcdv5GMSvAapO6LS5d1048581_00_00dGPcdv5GMSvAapO6LS5d.png/dims/resize/1280/quality/90/format/avif/optimize,클렌징,다이소,3월 베스트 랭킹
495.0,1,마데카21,마데카21 테카 토닝 캡슐 세럼 30 ml,3000,https://cdn.daisomall.co.kr/file/PD/20251212/nPlGcb5m4I44mwNETV3M1044552_00_00nPlGcb5m4I44mwNETV3M.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
496.0,1,린제이,린제이 모델링 마스크 팩 28g 쿨 티트리,3000,https://cdn.daisomall.co.kr/file/PD/20240924/OstV4nwe449zyzV9njAU1060215_00_00OstV4nwe449zyzV9njAU.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
500.0,1,바세린,바세린 퓨어스킨 젤리(100 ml),3000,https://cdn.daisomall.co.kr/file/PD/20240207/JtBS1fcZy5SEQ5dBsImf1046896_00_00JtBS1fcZy5SEQ5dBsImf.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
508.0,-1,클리덤,클리덤 리포좀 비타민C 기미볼세럼 15 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/8iKAWHvyKYW4a1YuzbS91059761_00_008iKAWHvyKYW4a1YuzbS9.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
530.0,2,미팩토리,미팩토리 피지쏙 시멘트 필오프팩 100ml,3000,https://cdn.daisomall.co.kr/file/PD/20250707/DMLn6mI3cjk3dVuphz5k51727_00_00DMLn6mI3cjk3dVuphz5k.png/dims/resize/1280/quality/90/format/avif/optimize,클렌징,다이소,3월 베스트 랭킹
533.0,0,VT,VT 시카 바이탈 슬리핑 마스크 4 ml 6개입,5000,https://cdn.daisomall.co.kr/file/PD/20251205/Pvlmuo0A726qBycueXae1068722_00_00Pvlmuo0A726qBycueXae.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
538.0,0,미팩토리,미팩토리 슈퍼쏙쏙 한방 돼지코팩(2매입),1000,https://cdn.daisomall.co.kr/file/PD/20260116/4aAOneFkBHdu1SnUGkcq1004451_00_004aAOneFkBHdu1SnUGkcq.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
542.0,-1,메디필,메디필 시카 쿨링 진정 랩핑 마스크 4 ml 4개입,3000,https://cdn.daisomall.co.kr/file/PD/20240826/L0EQd1ONam9blhW5GOYv1059504_00_00L0EQd1ONam9blhW5GOYv.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
545.0,1,더마블록,더마블록 수분 선크림 35 ml (by 셀퓨전씨),3000,https://cdn.daisomall.co.kr/file/PD/20250929/lkBKTVLLqmDzOnYDLH191049278_00_01lkBKTVLLqmDzOnYDLH19.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
550.0,1,daiso,에센셜마스크시트 꿀,1000,https://cdn.daisomall.co.kr/file/PD/20240826/RjclFxZKN1doQxrJGJg71059503_00_00RjclFxZKN1doQxrJGJg7.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
555.0,0,daiso,마스크 시트 10P,3000,https://cdn.daisomall.co.kr/file/PD/20251218/TEL8GyihOFjnnfdshUSv1060489_00_00TEL8GyihOFjnnfdshUSv.jpg/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
563.0,-2,파티온,파티온 노스카나인 퍼스트스텝 스팟겔크림 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20240510/FtwvzHqObPNMqWXYJ8Uw1055367_00_00FtwvzHqObPNMqWXYJ8Uw.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
565.0,0,AHC, AHC 에이지리뉴 크림 타이트닝 50 ml,500,https://cdn.daisomall.co.kr/file/PD/20231127/WKlh1z0WrTzmCbM544dC1004119_00_00WKlh1z0WrTzmCbM544dC.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
573.0,-2,daiso,존슨즈 베이비 오일 200 ml,500,https://cdn.daisomall.co.kr/file/PD/20231208/3aMlIFfKjYUNQSld0dDV10697_00_003aMlIFfKjYUNQSld0dDV.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
574.0,2,제이엠솔루션,제이엠솔루션 B5 히아 모이스처라이징 마스크 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251202/QGz1dacdDGrprR8lDIL11071643_00_00QGz1dacdDGrprR8lDIL1.png/dims/resize/1280/quality/90/format/avif/optimize,마스크팩,다이소,3월 베스트 랭킹
575.0,-2,메디필,메디필 멜라논엑스 기미스팟젤 15 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251209/APKAJke4w5E4iFg3c4GM1073255_00_00APKAJke4w5E4iFg3c4GM.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
582.0,0,메디필,메디필 엑스트라 슈퍼 9 플러스 모공 타이트닝 앰플 40 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250904/ZX78s5GdJvHddQkeLrgW1038892_00_01ZX78s5GdJvHddQkeLrgW.png/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
597.0,1,파넬,파넬 피치마누 틴티드 톤업 세럼 30 ml,1000,https://cdn.daisomall.co.kr/file/PD/20260123/koKpbhjyZcfSvXlrkhEI1038593_00_01koKpbhjyZcfSvXlrkhEI.jpg/dims/resize/1280/quality/90/format/avif/optimize,스킨케어,다이소,3월 베스트 랭킹
