rank,rank_change,brand_name,goods_name,price,image_url,category,store,ranking_type
23,2,VT,VT PDRN 광채에센스 2 ml 6개입,3000,https://cdn.daisomall.co.kr/file/PD/20251226/cceyzI3mcdWkrllblcO41067496_00_01cceyzI3mcdWkrllblcO4.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
24,1,마미케어,마미케어 바다포도 모공세럼 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251215/LKHKkUiBLe3vgJEfmKJt1075033_00_01LKHKkUiBLe3vgJEfmKJt.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
25,-2,VT,VT 시카 카밍 크림 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250929/Hmj0AdKWK1xzJkD9sMB21049274_00_01Hmj0AdKWK1xzJkD9sMB2.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
26,3,마데카21,마데카21 테카 솔루션 수딩 캡슐 앰플 30 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251231/s4XHWtj2Fdz5gHFmSBcY1044555_00_00s4XHWtj2Fdz5gHFmSBcY.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
27,3,클리덤,클리덤 리포좀 비타민C 캡슐잡티크림 55 ml,5000,https://cdn.daisomall.co.kr/file/PD/20251205/6yxxYklOEqrkfhPkdQXB1068721_00_006yxxYklOEqrkfhPkdQXB.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
28,0,본셉 스킨케어,본셉 레티놀 동결건조 더블샷 앰플 키트,5000,https://cdn.daisomall.co.kr/file/PD/20260123/7atGoOJ29MCKOvdnwiNQ1072417_00_017atGoOJ29MCKOvdnwiNQ.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
29,2,VT,VT PDRN 광채선에센스 50 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250929/wzKrzwRCrDqgHZDTtgId1067497_00_01wzKrzwRCrDqgHZDTtgId.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
30,2,다이소,미모랑 마이크로 트러블 패치 소형 10매입,3000,https://cdn.daisomall.co.kr/file/PD/20251111/yqSUr6LvwMbErout4Tvv1052642_00_00yqSUr6LvwMbErout4Tvv.jpg/dims/resize/1280/quality/90/format/avif/optimize,Skincare,다이소,실시간
31,3,메디필,메디필 물톡스 광채 보습 패드 2.0 50매입,5000,https://cdn.daisomall.co.kr/file/PD/20251202/rw0QUR8phiyBOWFfG4Mo1062241_00_00rw0QUR8phiyBOWFfG4Mo.jpg/dims/resize/1280/quality/90/format/avif/optimize,Cleansing,다이소,실시간
32,3,애경 바세린,바세린 모이스처라이징 클렌징 밀크 140 ml,5000,https://cdn.daisomall.co.kr/file/PD/20250311/QGjtoQh4Tv8bUcOEAchc1060211_00_01QGjtoQh4Tv8bUcOEAchc.jpg/dims/resize/1280/quality/90/format/avif/optimize,Cleansing,다이소,실시간
