순위,상품명,카테고리 이름,브랜드 이름,가격,할인 가격,image_url,oliveyoung_best_combined_0317 (1),oliveyoung_best_combined_0318,oliveyoung_best_combined_0321,oliveyoung_best_combined_0325,oliveyoung_best_combined_0328,goods_no,
84,[3월올영픽/더블기획] 라운드랩 자작나무 수분 패드 더블 기획 (80매+80매),마스크팩,라운드랩,34000.0,27800.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016079639ko.jpg?l=ko,38.0,20.0,51.0,28.0,42.0,A000000160796,
85,[3월올영PICK|안경만두콜라보] 브링그린 징크테카 트러블 세럼 (콜라보/대용량기획),스킨케어,브링그린,56100.0,29800.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020064697ko.jpg?l=ko,18.0,24.0,30.0,29.0,81.0,A000000200646,
86,[3월 올영픽/대용량] 라운드랩 1025 독도 클렌저 250ml,클렌징,라운드랩,21000.0,15600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015464408ko.jpg?l=ko,49.0,30.0,45.0,28.0,33.0,A000000154644,
87,라로슈포제 시카플라스트 로션 B5 판테놀 시카에센스 토너 200ml,스킨케어,라로슈포제,37000.0,29600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015992114ko.jpg?l=ko,42.0,67.0,41.0,16.0,17.0,A000000159921,
88,[NEW/한정기획] 폰즈 립&아이리무버 300ml 기획 (+50ML 리무버 +15ML 팩클렌저 증정),클렌징,폰즈,24500.0,12200.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024833916ko.jpg?l=ko,23.0,36.0,43.0,44.0,42.0,A000000248339,
89,라로슈포제 시카플라스트 밤B5+ 40ml,더모 코스메틱,라로슈포제,27000.0,24300.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0017/A00000017431608ko.jpg?l=ko,34.0,36.0,26.0,33.0,63.0,A000000174316,
90,제로이드 수딩 크림 80ml 기획 (+크림 10ml),스킨케어,제로이드,30000.0,27000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024499507ko.jpg?l=ko,38.0,51.0,62.0,25.0,15.0,A000000244995,
91,[1매] 넘버즈인 1번~5번 마스크팩 5종 중 택 1,마스크팩,넘버즈인,4000.0,2000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016090135ko.jpg?l=ko,20.0,34.0,22.0,42.0,76.0,A000000160901,
92,[독보적 보습 립밤] 유리아쥬 스틱레브르 오리지널 4g 2+1 한정기획,더모 코스메틱,유리아쥬,27000.0,20520.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020018410ko.png?l=ko,51.0,50.0,34.0,31.0,30.0,A000000200184,
93,[흔적미백] 넘버즈인 5번 글루타치온C 흔적 앰플 30ml+30ml 듀오기획,스킨케어,넘버즈인,46000.0,29900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018983723ko.jpg?l=ko,37.0,45.0,23.0,33.0,56.0,A000000189837,
94,바이오더마 하이드라비오 토너 500ml 기획 (+거품 용기),스킨케어,바이오더마,38000.0,38000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024545906ko.jpg?l=ko,17.0,101.0,29.0,34.0,16.0,A000000245459,
95,아누아 어성초 피지쏙 모공 폼 150ml 2입 기획,클렌징,아누아,28000.0,23900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022279012ko.png?l=ko,4.0,50.0,78.0,42.0,25.0,A000000222790,
96,[수분진정] 넘버즈인 1번 판토텐산 액티브업 수딩세럼 50ml 리필기획 (50ml+50ml),스킨케어,넘버즈인,38000.0,24000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020722530ko.jpg?l=ko,51.0,41.0,34.0,37.0,37.0,A000000207225,
97,[수분크림] 에스트라 아토베리어365 하이드로 수딩크림 60ml,더모 코스메틱,에스트라,33000.0,26400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015089008ko.jpg?l=ko,28.0,17.0,13.0,41.0,101.0,A000000150890,
98,[3월 한정특가/1등 진정세럼] 파넬 시카마누 92세럼 30ml 리필기획(+30ml 리필+15ml),스킨케어,파넬,42000.0,23900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023772817ko.jpg?l=ko,52.0,23.0,51.0,48.0,31.0,A000000237728,
99,피지오겔 DMT 페이셜 보습장벽 크림 150ml,스킨케어,피지오겔,47500.0,23900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023218515ko.jpg?l=ko,101.0,18.0,46.0,17.0,22.0,A000000232185,
100,[10년연속1위] 유세린 하이알루론 3X 아이크림 15ml 기획(+나이트크림 7ml 2개 증정),스킨케어,유세린,53000.0,35900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020045415ko.jpg?l=ko,39.0,37.0,49.0,50.0,29.0,A000000200454,
